Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
1749,19/03/2021,BP,SAVE THE CHANGE,0.26,,648.71,Savings,Nottingham,UK
1750,18/03/2021,DEB,TESCO STORES 5368,3.74,,648.97,Groceries,,
1751,18/03/2021,BP,SAVE THE CHANGE,0.5,,652.71,Savings,Nottingham,UK
1752,17/03/2021,DEB,LIDL GB  NOTTINGHA,5.87,,653.21,Groceries,Nottingham,UK
1753,17/03/2021,DEB,AMZNMktplace,3.63,,659.08,Amazon,Nottingham,UK
1754,17/03/2021,DD,VIRGIN MEDIA PYMTS,25.5,,662.71,Bills,Nottingham,UK
1755,17/03/2021,BP,SAVE THE CHANGE,0.8,,688.21,Savings,Nottingham,UK
1756,16/03/2021,DEB,AMZNMKTPLACE AMAZO,18.2,,689.01,Amazon,Nottingham,UK
1757,16/03/2021,DD,O2,16.44,,707.21,Other Shopping,Nottingham,UK
1758,16/03/2021,BP,SAVE THE CHANGE,1.35,,723.65,Savings,Nottingham,UK
1759,15/03/2021,DEB,SOLO GRANO,9.25,,725.0,Dine Out,Nottingham,UK
1760,15/03/2021,DEB,AMZNMKTPLACE AMAZO,6.4,,734.25,Amazon,Nottingham,UK
1761,15/03/2021,BP,SAVE THE CHANGE,1.7,,740.65,Savings,Nottingham,UK
1762,15/03/2021,DEB,ORIENTAL MART HYDR,13.02,,742.35,Groceries,Nottingham,UK
1763,15/03/2021,DEB,WWW.DOUGHNOTTSOFFI,6.8,,755.37,Dine Out,Nottingham,UK
1764,15/03/2021,DEB,HPI INSTANT INK UK,7.49,,762.17,Other Shopping,,
1765,2021-12-03 00:00:00,DEB,Amazon.co.uk*MM61F,186.99,,769.66,Amazon,Nottingham,UK
1766,2021-12-03 00:00:00,BP,SAVE THE CHANGE,1.0,,956.65,Savings,Nottingham,UK
1767,2021-11-03 00:00:00,DEB,AMZNMktplace,5.14,,957.65,Amazon,Nottingham,UK
1768,2021-11-03 00:00:00,DEB,AMZNMKTPLACE AMAZO,42.86,,962.79,Amazon,Nottingham,UK
1769,2021-10-03 00:00:00,FPO,ALICJA ALEXANDER,25.0,,1005.65,Services/Home Improvement,Nottingham,UK
1770,2021-10-03 00:00:00,BP,SAVE THE CHANGE,0.84,,1030.65,Savings,Nottingham,UK
1771,2021-09-03 00:00:00,DEB,Amazon Prime*MM728,79.0,,1031.49,Amazon,Nottingham,UK
1772,2021-09-03 00:00:00,DEB,AMZNMktplace,19.92,,1110.49,Amazon,Nottingham,UK
1773,2021-09-03 00:00:00,DEB,LIDL GB  NOTTINGHA,10.24,,1130.41,Groceries,Nottingham,UK
1774,2021-09-03 00:00:00,BP,SAVE THE CHANGE,0.06,,1140.65,Savings,Nottingham,UK
1775,2021-08-03 00:00:00,DEB,ORIENTAL MART HYDR,13.94,,1140.71,Groceries,Nottingham,UK
1776,2021-08-03 00:00:00,FPO,KYLE MCDERMOTT,208.8,,1154.65,Services,Nottingham,UK
1777,2021-08-03 00:00:00,BP,SAVE THE CHANGE,1.53,,1363.45,Savings,Nottingham,UK
1778,2021-08-03 00:00:00,DEB,WWW.DOUGHNOTTSOFFI,6.8,,1364.98,Dine Out,Nottingham,UK
1779,2021-08-03 00:00:00,DEB,TESCO STORE 2960,2.0,,1371.78,Groceries,,
1780,2021-08-03 00:00:00,FPO,ANTIGONI ABRAHMS,5.0,,1373.78,Entertainment,London,UK
1781,2021-08-03 00:00:00,DEB,Amazon.co.uk*MM82L,28.66,,1378.78,Amazon,Nottingham,UK
1782,2021-05-03 00:00:00,FPO,ROBERT RECORD,100.0,,1407.44,Others,Nottingham,UK
1783,2021-05-03 00:00:00,DEB,Amazon.co.uk*MM0OR,29.99,,1507.44,Amazon,Nottingham,UK
